jmeno|prezdivka|pohlavi|vyska|vaha|narozeni|umrti|klub|stat|sport|hry1|udalost1|tym1|poradi1|medaile1|detail1|hry2|udalost2|tym2|poradi2|medaile2|detail2|hry3|udalost3|tym3|poradi3|medaile3|detail3|hry4|udalost4|tym4|poradi4|medaile4|detail4|hry5|udalost5|tym5|poradi5|medaile5|detail5|hry6|udalost6|tym6|poradi6|medaile6|detail6|hry7|udalost7|tym7|poradi7|medaile7|detail7|hry8|udalost8|tym8|poradi8|medaile8|detail8|hry9|udalost9|tym9|poradi9|medaile9|detail9|hry10|udalost10|tym10|poradi10|medaile10|detail10|hry11|udalost11|tym11|poradi11|medaile11|detail11|hry12|udalost12|tym12|poradi12|medaile12|detail12|hry13|udalost13|tym13|poradi13|medaile13|detail13|hry14|udalost14|tym14|poradi14|medaile14|detail14|hry15|udalost15|tym15|poradi15|medaile15|detail15|hry16|udalost16|tym16|poradi16|medaile16|detail16|hry17|udalost17|tym17|poradi17|medaile17|detail17|hry18|udalost18|tym18|poradi18|medaile18|detail18|hry19|udalost19|tym19|poradi19|medaile19|detail19|hry20|udalost20|tym20|poradi20|medaile20|detail20|hry21|udalost21|tym21|poradi21|medaile21|detail21|hry22|udalost22|tym22|poradi22|medaile22|detail22|hry23|udalost23|tym23|poradi23|medaile23|detail23|hry24|udalost24|tym24|poradi24
Robert Belza||Male||148 lbs (67 kg)|1926-11-09|||Czechoslovakia|Weightlifting|1952 Summer|Men's Lightweight|Czechoslovakia|11||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ctirad Benáček|Ben, Big Ben|Male|||1924-09-08||Sparta Praha, Praha (CZE)|Czechoslovakia|Basketball|1948 Summer|Men's Basketball|Czechoslovakia|7||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Benák||Male|"5'11"" (181 cm)"|181 lbs (82 kg)|1962-04-03||Dukla Jihlava, Jihlava (CZE)|Czechoslovakia|Ice Hockey|1984 Winter|Men's Ice Hockey|Czechoslovakia|2|Silver||1988 Winter|Men's Ice Hockey|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Juraj Benčík||Male|"5'7"" (170 cm)"|137 lbs (62 kg)|1945-02-15|||Czechoslovakia|Athletics|1980 Summer|Men's 20 kilometres Walk|Czechoslovakia|AC||DQ|1980 Summer|Men's 50 kilometres Walk|Czechoslovakia|13||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Júlia Bendeová||Female|"5'10"" (178 cm)"|150 lbs (68 kg)|1940-02-17|||Czechoslovakia|Volleyball|1968 Summer|Women's Volleyball|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Benedik||Male|||1898-03-10|1977-10-11||Czechoslovakia|Fencing|1936 Summer|Men's Sabre, Individual|Czechoslovakia|5T  p1 r2/4|||1936 Summer|Men's Sabre, Team|Czechoslovakia|3 p3 r2/4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Beneš||Male|||1971-10-09|||Czechoslovakia|Rowing|1992 Summer|Men's Coxed Eights|Czechoslovakia|12||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ladislav Beneš||Male|"5'11"" (181 cm)"|179 lbs (81 kg)|1943-07-09||Dukla Praha, Praha (CZE)|Czechoslovakia|Handball|1972 Summer|Men's Handball|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Pavel Benetka||Male|||1921-01-26|1997-05-04||Czechoslovakia|Gymnastics|1948 Summer|Men's Individual All-Around|Czechoslovakia|23|||1948 Summer|Men's Team All-Around|Czechoslovakia|6|||1948 Summer|Men's Floor Exercise|Czechoslovakia|6T |||1948 Summer|Men's Horse Vault|Czechoslovakia|28T |||1948 Summer|Men's Parallel Bars|Czechoslovakia|26T |||1948 Summer|Men's Horizontal Bar|Czechoslovakia|20T |||1948 Summer|Men's Rings|Czechoslovakia|25T |||1948 Summer|Men's Pommelled Horse|Czechoslovakia|59T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jiří Beran||Male|"5'7"" (171 cm)"|163 lbs (74 kg)|1952-01-18||Dukla Liberec, Liberec (CZE)|Czechoslovakia|Cross Country Skiing|1976 Winter|Men's 30 kilometres|Czechoslovakia|45|||1976 Winter|Men's 50 kilometres|Czechoslovakia|15|||1976 Winter|Men's 4 × 10 kilometres Relay|Czechoslovakia|10|||1980 Winter|Men's 15 kilometres|Czechoslovakia|24|||1980 Winter|Men's 30 kilometres|Czechoslovakia|21|||1980 Winter|Men's 50 kilometres|Czechoslovakia|23|||1980 Winter|Men's 4 × 10 kilometres Relay|Czechoslovakia|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Beránek||Male|||1891-12-06|1959-07-06||Czechoslovakia|Wrestling|1912 Summer|Men's Featherweight, Greco-Roman|Bohemia|AC r4/8|||1920 Summer|Men's Featherweight, Greco-Roman|Czechoslovakia|AC r3/5|||1924 Summer|Men's Lightweight, Greco-Roman|Czechoslovakia|13T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Renata Beránková||Female|"5'10"" (179 cm)"|163 lbs (74 kg)|1971-03-21||TJ Slávia Děčin|Czechoslovakia|Rowing|1992 Summer|Women's Coxed Eights|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
"Gustav ""Gustl"" Berauer"||Male|||1912-11-05|1986-05-18||Czechoslovakia|Nordic Combined|1936 Winter|Men's 18 kilometres|Czechoslovakia|21|||1936 Winter|Men's Individual|Czechoslovakia|14|||1936 Winter|Men's 4 × 10 kilometres Relay|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Zoltán Bergendi||Male|"6'5"" (195 cm)"|198 lbs (90 kg)|1969-03-21||JD Arrate, Éibar (ESP)|Czechoslovakia|Handball|1992 Summer|Men's Handball|Czechoslovakia|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Berger||Male|"5'10"" (178 cm)"|161 lbs (73 kg)|1955-11-27||Dukla Praha, Praha (CZE)|Czechoslovakia|Football|1980 Summer|Men's Football|Czechoslovakia|1|Gold|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Robert Bergmann||Male|||1905-02-17|||Czechoslovakia|Fencing|1936 Summer|Men's Épée, Individual|Czechoslovakia|7 p2 r1/4|||1936 Summer|Men's Épée, Team|Czechoslovakia|3 p1 r2/4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Eva Berková||Female|"6'4"" (194 cm)"|176 lbs (80 kg)|1965-10-23||Slovan Bratislava/Slávia UK Bratislava/Racing Club de France|Czechoslovakia|Basketball|1988 Summer|Women's Basketball|Czechoslovakia|8|||1992 Summer|Women's Basketball|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ernst Helmut Berndt||Male|||1915-06-17||Reichenberger SC, Liberec (CZE)|Czechoslovakia|Athletics|1936 Summer|Men's 400 metres Hurdles|Czechoslovakia|4 h6 r1/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Rudolf Bezděk||Male|||1916-02-12||Slávia Bratislava, Bratislava (SVK)|Czechoslovakia|Boxing|1936 Summer|Men's Flyweight|Czechoslovakia|16T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miroslav Beznoska||Male||||||Czechoslovakia|Fencing|1928 Summer|Men's Épée, Team|Czechoslovakia|5T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Stanislav Bičák||Male|||1905|||Czechoslovakia|Swimming|1924 Summer|Men's 100 metres Freestyle|Czechoslovakia|6 h2 r1/3|||1924 Summer|Men's 400 metres Freestyle|Czechoslovakia|5 h4 r1/3|||1924 Summer|Men's 4 × 200 metres Freestyle Relay|Czechoslovakia|3 h3 r1/3||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Iveta Bieliková||Female|"5'7"" (171 cm)"|128 lbs (58 kg)|1966-08-17||MBK Ružomberok, Ružomberok (SVK)|Czechoslovakia|Basketball|1992 Summer|Women's Basketball|Czechoslovakia|6||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Alexandr Bílek||Male|"5'10"" (178 cm)"|148 lbs (67 kg)|1941-01-20||Spartak Ústí nad Labem, Ústí nad Labem (CZE)|Czechoslovakia|Athletics|1964 Summer|Men's 20 kilometres Walk|Czechoslovakia|11|||1964 Summer|Men's 50 kilometres Walk|Czechoslovakia|20||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Bílek||Male|"6'0"" (183 cm)"|157 lbs (71 kg)|1971-03-16||T. Sviny Tábor|Czechoslovakia|Cycling|1992 Summer|Men's 100 kilometres Team Time Trial|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Bím||Male|"5'7"" (171 cm)"|143 lbs (65 kg)|1931-01-12|||Czechoslovakia|Gymnastics|1956 Summer|Men's Individual All-Around|Czechoslovakia|36|||1956 Summer|Men's Team All-Around|Czechoslovakia|4|||1956 Summer|Men's Floor Exercise|Czechoslovakia|52|||1956 Summer|Men's Horse Vault|Czechoslovakia|46|||1956 Summer|Men's Parallel Bars|Czechoslovakia|38|||1956 Summer|Men's Horizontal Bar|Czechoslovakia|32|||1956 Summer|Men's Rings|Czechoslovakia|28T |||1956 Summer|Men's Pommelled Horse|Czechoslovakia|6|||1960 Summer|Men's Individual All-Around|Czechoslovakia|23|||1960 Summer|Men's Team All-Around|Czechoslovakia|4|||1960 Summer|Men's Floor Exercise|Czechoslovakia|60T  QR|||1960 Summer|Men's Horse Vault|Czechoslovakia|39T  QR|||1960 Summer|Men's Parallel Bars|Czechoslovakia|19T  QR|||1960 Summer|Men's Horizontal Bar|Czechoslovakia|22T  QR|||1960 Summer|Men's Rings|Czechoslovakia|36T  QR|||1960 Summer|Men's Pommelled Horse|Czechoslovakia|33T  QR||||||||||||||||||||||||||||||||||||||||||||||||
Josef Bím||Male|||1901-01-24|1934-09-05||Czechoslovakia|Nordic Combined|1924 Winter|Men's Military Ski Patrol|Czechoslovakia|4|||1924 Winter|Men's Normal Hill, Individual|Czechoslovakia|26|||1924 Winter|Men's Individual|Czechoslovakia|13|||1928 Winter|Men's Normal Hill, Individual|Czechoslovakia|20||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Stanislav Binar||Male|||1908-08-08|1969-03-20||Czechoslovakia|Art Competitions|1948 Summer|Mixed Sculpturing, Unknown Event|Czechoslovakia|AC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Adrián Bíreš||Male|||1969-05-18|||Czechoslovakia|Alpine Skiing|1988 Winter|Men's Downhill|Czechoslovakia|33|||1988 Winter|Men's Super G|Czechoslovakia|23|||1988 Winter|Men's Giant Slalom|Czechoslovakia|AC||DNF|1988 Winter|Men's Slalom|Czechoslovakia|15|||1988 Winter|Men's Combined|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Marián Bíreš||Male|||1964-07-27|||Czechoslovakia|Alpine Skiing|1992 Winter|Men's Downhill|Czechoslovakia|34|||1992 Winter|Men's Super G|Czechoslovakia|37|||1992 Winter|Men's Giant Slalom|Czechoslovakia|34|||1992 Winter|Men's Slalom|Czechoslovakia|AC||DNF|1992 Winter|Men's Combined|Czechoslovakia|AC||DNF||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
František Bláha||Male||||||Czechoslovakia|Shooting|1920 Summer|Men's Free Pistol, 50 metres, Team|Czechoslovakia|AC||DNF||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Blažek||Male|"6'9"" (206 cm)"|216 lbs (98 kg)|1947-09-13||Slavia Praha, Praha (CZE)|Czechoslovakia|Basketball|1972 Summer|Men's Basketball|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jindřich Blažek||Male|"5'10"" (177 cm)"|172 lbs (78 kg)|1933-11-26|||Czechoslovakia|Rowing|1960 Summer|Men's Coxless Fours|Czechoslovakia|4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miloslav Blažek||Male|||1922-06-22|1985-02-19|HC Vítkovice Steel, Ostrava (CZE)|Czechoslovakia|Ice Hockey|1952 Winter|Men's Ice Hockey|Czechoslovakia|4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Blažek||Male|"5'11"" (181 cm)"|163 lbs (74 kg)|1961-03-30||Dukla Banská Bystrica, Banská Bystrica (SVK)|Czechoslovakia|Modern Pentathlon|1992 Summer|Men's Individual|Czechoslovakia|14|||1992 Summer|Men's Team|Czechoslovakia|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Radomír Blažík||Male|"5'10"" (178 cm)"|165 lbs (75 kg)|1954-09-03|||Czechoslovakia|Canoeing|1980 Summer|Men's Canadian Singles, 500 metres|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Milada Blažková||Female|"5'4"" (162 cm)"|119 lbs (54 kg)|1958-05-30||Bohemians Praha, Praha (CZE)|Czechoslovakia|Hockey|1980 Summer|Women's Hockey|Czechoslovakia|2|Silver|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Marcel Blažo||Male|"6'1"" (185 cm)"|165 lbs (75 kg)|1974-01-08||ZŤS Martin/USK Praha|Czechoslovakia|Swimming|1992 Summer|Men's 100 metres Backstroke|Czechoslovakia|26|||1992 Summer|Men's 200 metres Backstroke|Czechoslovakia|19||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Petr Blecha||Male|"6'4"" (192 cm)"|205 lbs (93 kg)|1970-04-24||Sparta Praha, Praha (CZE)|Czechoslovakia|Rowing|1992 Summer|Men's Coxed Eights|Czechoslovakia|12||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Wilhelm Blechschmidt||Male||||||Czechoslovakia|Bobsleigh|1936 Winter|Men's Two|Czechoslovakia-2|17|||1936 Winter|Men's Four|Czechoslovakia-2|12||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Hana Bobková (-Vláčilová)||Female|||1929-02-19|||Czechoslovakia|Gymnastics|1952 Summer|Women's Individual All-Around|Czechoslovakia|31|||1952 Summer|Women's Team All-Around|Czechoslovakia|3|Bronze||1952 Summer|Women's Team Portable Apparatus|Czechoslovakia|6T |||1952 Summer|Women's Floor Exercise|Czechoslovakia|47T |||1952 Summer|Women's Horse Vault|Czechoslovakia|57|||1952 Summer|Women's Uneven Bars|Czechoslovakia|27|||1952 Summer|Women's Balance Beam|Czechoslovakia|31T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Bobrovský||Male|"6'7"" (200 cm)"|220 lbs (100 kg)|1945-03-29||Zbrojovka Brno, Brno (CZE)|Czechoslovakia|Basketball|1972 Summer|Men's Basketball|Czechoslovakia|8||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Zdeněk Bobrovský||Male|"6'1"" (186 cm)"|183 lbs (83 kg)|1933-12-01||Zbrojovka Brno, Brno (CZE)|Czechoslovakia|Basketball|1952 Summer|Men's Basketball|Czechoslovakia|9T |||1960 Summer|Men's Basketball|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Bochníček||Male|||1896-01-15|1969-07-08||Czechoslovakia|Gymnastics|1920 Summer|Men's Team All-Around|Czechoslovakia|4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
František Bočko||Male|"5'5"" (164 cm)"|130 lbs (59 kg)|1941-07-09|||Czechoslovakia|Gymnastics|1968 Summer|Men's Individual All-Around|Czechoslovakia|22|||1968 Summer|Men's Team All-Around|Czechoslovakia|4|||1968 Summer|Men's Floor Exercise|Czechoslovakia|14T  QR|||1968 Summer|Men's Horse Vault|Czechoslovakia|18T  QR|||1968 Summer|Men's Parallel Bars|Czechoslovakia|35T  QR|||1968 Summer|Men's Horizontal Bar|Czechoslovakia|33T  QR|||1968 Summer|Men's Rings|Czechoslovakia|38T  QR|||1968 Summer|Men's Pommelled Horse|Czechoslovakia|33T  QR||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Bogdálek||Male|||1929-05-24|||Czechoslovakia|Alpine Skiing|1956 Winter|Men's Downhill|Czechoslovakia|AC||DQ|1956 Winter|Men's Giant Slalom|Czechoslovakia|31|||1956 Winter|Men's Slalom|Czechoslovakia|29||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jan Boháč||Male|"6'0"" (182 cm)"|161 lbs (73 kg)|1963-04-22|||Czechoslovakia|Canoeing|1988 Summer|Men's Kayak Doubles, 500 metres|Czechoslovakia|5 h2r3/4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Josef Boháč||Male|||1914-04-20|||Czechoslovakia|Ice Hockey|1936 Winter|Men's Ice Hockey|Czechoslovakia|4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Bohatý (-Pavelka)||Male|"5'7"" (170 cm)"|141 lbs (64 kg)|1935-01-17||Dukla Praha, Praha (CZE)|Czechoslovakia|Athletics|1960 Summer|Men's 5,000 metres|Czechoslovakia|7 h3 r1/2|||1960 Summer|Men's 10,000 metres|Czechoslovakia|AC||DNF||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Luděk Bohman||Male|"5'9"" (176 cm)"|157 lbs (71 kg)|1946-12-02||Slavia Praha, Praha (CZE)|Czechoslovakia|Athletics|1972 Summer|Men's 100 metres|Czechoslovakia|5 h5 r2/4|||1972 Summer|Men's 4 × 100 metres Relay|Czechoslovakia|4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Miroslav Bedřich Böhnel||Male|||1886-07-03|1962-09-29||Czechoslovakia|Art Competitions|1932 Summer|Mixed Literature|Czechoslovakia|AC||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Zdeněk Bohutínský||Male|"5'11"" (181 cm)"|190 lbs (86 kg)|1946-05-14|||Czechoslovakia|Canoeing|1972 Summer|Men's Kayak Fours, 1,000 metres|Czechoslovakia|9|||1976 Summer|Men's Kayak Doubles, 1,000 metres|Czechoslovakia|4 h3r3/4||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Pavol Bojanovský||Male|"6'4"" (192 cm)"|181 lbs (82 kg)|1953-09-06||Inter Bratislava|Czechoslovakia|Basketball|1980 Summer|Men's Basketball|Czechoslovakia|9||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Elena Boledovičová (-Dugovičová)||Female|"5'5"" (164 cm)"|123 lbs (56 kg)|1953-05-09||Inter Bratislava, Bratislava (SVK)|Czechoslovakia|Handball|1980 Summer|Women's Handball|Czechoslovakia|5||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Ludvík Bombík||Male|||1912-11-26|1987-03-29|Sokol Olomouc, Olomouc (CZE)|Czechoslovakia|Athletics|1936 Summer|Men's 10,000 metres|Czechoslovakia|17||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Jaroslav Boroš||Male|"5'9"" (174 cm)"|154 lbs (70 kg)|1947-01-01||1. FC Košice, Košice (SVK)|Czechoslovakia|Football|1968 Summer|Men's Football|Czechoslovakia|9T ||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Vidor Borsig||Male|||1963-02-11|||Czechoslovakia|Water Polo|1992 Summer|Men's Water Polo|Czechoslovakia|12||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
Eva Bosáková-Věchtová (-Hlaváčková)||Female|"5'4"" (162 cm)"|130 lbs (59 kg)|1931-12-18|1991-01-10||Czechoslovakia|Gymnastics|1952 Summer|Women's Individual All-Around|Czechoslovakia|14T |||1952 Summer|Women's Team All-Around|Czechoslovakia|3|Bronze||1952 Summer|Women's Team Portable Apparatus|Czechoslovakia|6T |||1952 Summer|Women's Floor Exercise|Czechoslovakia|13T |||1952 Summer|Women's Horse Vault|Czechoslovakia|33T |||1952 Summer|Women's Uneven Bars|Czechoslovakia|15|||1952 Summer|Women's Balance Beam|Czechoslovakia|13|||1956 Summer|Women's Individual All-Around|Czechoslovakia|7|||1956 Summer|Women's Team All-Around|Czechoslovakia|5|||1956 Summer|Women's Team Portable Apparatus|Czechoslovakia|7|||1956 Summer|Women's Floor Exercise|Czechoslovakia|4T |||1956 Summer|Women's Horse Vault|Czechoslovakia|22|||1956 Summer|Women's Uneven Bars|Czechoslovakia|4|||1956 Summer|Women's Balance Beam|Czechoslovakia|2T |Silver||1960 Summer|Women's Individual All-Around|Czechoslovakia|10|||1960 Summer|Women's Team All-Around|Czechoslovakia|2|Silver||1960 Summer|Women's Floor Exercise|Czechoslovakia|4|||1960 Summer|Women's Horse Vault|Czechoslovakia|36T  QR|||1960 Summer|Women's Uneven Bars|Czechoslovakia|17T  QR|||1960 Summer|Women's Balance Beam|Czechoslovakia|1|Gold|||||||||||||||||||||||
